L,β,e,c,m,χ,U
4,0.31726633165829143,-0.92643125,0.5216538597028263,0.558546875,0.452564255949556,0.4461545471423447
4,0.322286432160804,-0.95598125,0.5487934674352954,0.5730890625,0.45986206099180066,0.45835906031426565
4,0.3273065326633166,-0.98033125,0.5750824762732387,0.5843,0.4692701218963227,0.46713778211183343
4,0.33232663316582917,-1.008121875,0.5976817625914904,0.5974828125,0.4772043274167471,0.4777288090909788
4,0.3373467336683417,-1.03849375,0.6205394417250447,0.611390625,0.48126244003434776,0.4885165385537391
4,0.3423668341708543,-1.068178125,0.6471659015959095,0.6248234375,0.4854553208680305,0.4976611866167724
4,0.34738693467336684,-1.094540625,0.6660200821320309,0.6374375,0.4873161193629242,0.5070779362974283
4,0.3524070351758794,-1.121746875,0.6855389350284724,0.6495703125,0.4916008040423948,0.5154518659150085
4,0.35742713567839196,-1.14851875,0.7097662426947456,0.6619,0.4925525413927976,0.5230757700894819
4,0.3624472361809045,-1.176190625,0.7260698015785,0.67485,0.48953266257174965,0.5316323104068363
4,0.3674673366834171,-1.2056875,0.7404156814115709,0.6875703125,0.4897757461446613,0.5394888678062688
4,0.37248743718592964,-1.233753125,0.7539689266748124,0.7007484375,0.4840736503800115,0.5474977846984072
4,0.3775075376884422,-1.261071875,0.7678391558050476,0.7128578125,0.47891646618068523,0.5542866336148481
4,0.38252763819095476,-1.2887,0.7819924347796184,0.7251078125,0.47329605504380917,0.5610112441291172
4,0.3875477386934673,-1.311640625,0.7930744941361604,0.735634375,0.4682451238814964,0.5668505955408458
4,0.3925678391959799,-1.34025625,0.8065477340468153,0.7478640625,0.46214355780629546,0.5730606646649514
4,0.3975879396984925,-1.3668,0.8122528036269907,0.7597578125,0.4510784741479337,0.5790416831550432
4,0.40260804020100505,-1.39194375,0.8121469439291996,0.7708515625,0.4401956031136213,0.5847871198549827
4,0.4076281407035176,-1.4162125,0.8180317321131091,0.7811375,0.4308733434474717,0.5896002708192601
4,0.41264824120603016,-1.438034375,0.8217834559792854,0.79041875,0.4225384886016695,0.5938792363414611
4,0.4176683417085427,-1.4645625,0.814521149498232,0.8015578125,0.4087496731389645,0.5990486639148904
4,0.4226884422110553,-1.488996875,0.8101868620422926,0.8119921875,0.3947202245479399,0.6037034592955874
4,0.42770854271356784,-1.510184375,0.807671458037357,0.8209453125,0.38399461231412185,0.6076534339287534
4,0.4327286432160804,-1.531396875,0.7988012949754996,0.8298140625,0.36884782438679026,0.6114265975107864
4,0.43774874371859296,-1.554,0.7874586243111384,0.8394234375,0.35281438214282784,0.6155053679160516
4,0.4427688442211055,-1.57353125,0.7806953032197549,0.8475046875,0.3402891568432216,0.6187589356152539
4,0.4477889447236181,-1.594690625,0.7653803968301334,0.85608125,0.32434521926125226,0.6221459368807456
4,0.45280904522613064,-1.61336875,0.7534523343532966,0.862953125,0.31482642664493354,0.6246764198138017
4,0.4578291457286432,-1.632571875,0.7380913365917547,0.87108125,0.29784357845637627,0.6278856594168987
4,0.46284924623115575,-1.648990625,0.7303099965467178,0.8777125,0.2858684218286021,0.6302795441255259
4,0.46786934673366837,-1.66524375,0.7107361720082445,0.8838546875,0.2737034273121499,0.6325929843435871
4,0.4728894472361809,-1.680109375,0.7001784747723249,0.8898953125,0.2613530441261985,0.634722399739192
4,0.4779095477386935,-1.697059375,0.6812485081073199,0.8965484375,0.246556026196986,0.6370812717111851
4,0.48292964824120604,-1.7110125,0.6660187361038822,0.901740625,0.23633497193554204,0.6388658596341521
4,0.4879497487437186,-1.72423125,0.6530194269920416,0.90680625,0.2268025122771886,0.6406226808700934
4,0.49296984924623116,-1.738021875,0.6330468450941598,0.9122484375,0.21247770775604774,0.642489453979207
4,0.4979899497487437,-1.7504,0.6173447212275004,0.916775,0.20294406842899618,0.6439717599788594
4,0.5030100502512563,-1.76184375,0.6050156284141947,0.92091875,0.1951928462783831,0.645270578889154
4,0.5080301507537689,-1.773184375,0.586917697589568,0.925196875,0.18516184339713018,0.6467003445310164
4,0.5130502512562815,-1.78528125,0.5638935930699471,0.929946875,0.17062966875242894,0.648267747425168
4,0.518070351758794,-1.794715625,0.5512728194414809,0.9333375,0.163581606926569,0.6493118785458176
4,0.5230904522613066,-1.804603125,0.5367012403553348,0.9368265625,0.15641855133912816,0.6503856705401452
4,0.5281105527638191,-1.814771875,0.516477990406124,0.9405328125,0.14655070560237096,0.6515242899448905
4,0.5331306532663317,-1.824928125,0.49598028490997886,0.9443015625,0.13588194496459213,0.6527155205008282
4,0.5381507537688442,-1.832234375,0.48373175392454,0.9469125,0.1291685464180362,0.6534830395538911
4,0.5431708542713568,-1.839253125,0.4737221638471697,0.9491734375,0.12466317675910125,0.6540670475933574
4,0.5481909547738694,-1.84721875,0.45587726741196294,0.9519,0.11862026949507723,0.6549086693258015
4,0.5532110552763819,-1.854115625,0.444125660006432,0.95438125,0.11211812710256557,0.6556104524075476
4,0.5582311557788945,-1.86006875,0.43379353878846616,0.9562296875,0.10872716537924376,0.6560850218392884
4,0.563251256281407,-1.86794375,0.4116327177744745,0.9592015625,0.0984411735603811,0.6569994217156735
4,0.5682713567839196,-1.87481875,0.39596018894063173,0.9616515625,0.0912682100741213,0.6576980859491542
4,0.5732914572864322,-1.881015625,0.38201679116675613,0.96379375,0.0851352580093024,0.6582833215763213
4,0.5783115577889447,-1.886225,0.3713160243004298,0.96544375,0.08192975709418733,0.6587130784885096
4,0.5833316582914573,-1.89184375,0.3563789348701902,0.9672453125,0.07795579101938309,0.6592086582388298
4,0.5883517587939698,-1.897215625,0.345367142597247,0.9690953125,0.0729434565007357,0.6597007585865383
4,0.5933718592964824,-1.902446875,0.33162790781379614,0.9709125,0.06728931528416716,0.6601878334200111
4,0.598391959798995,-1.907153125,0.32110012861572335,0.97235,0.0648546150605777,0.6605395652423637
4,0.6034120603015075,-1.911353125,0.3091955698552944,0.973771875,0.06046995606801945,0.6609329958057086
4,0.6084321608040201,-1.915,0.30225440883423277,0.974959375,0.05755382252722411,0.6612071089962365
4,0.6134522613065326,-1.919003125,0.2914172578101289,0.976203125,0.05485978287093147,0.6615265987832297
4,0.6184723618090452,-1.92345,0.27927896162157506,0.977690625,0.05064527439178103,0.6619115369853774
4,0.6234924623115577,-1.926440625,0.27225432467227334,0.9785453125,0.04925310166976274,0.6620972071706427
4,0.6285125628140703,-1.93005625,0.2620455020039058,0.979825,0.04496278578225946,0.6624405391075214
4,0.6335326633165829,-1.93326875,0.25173883808832526,0.9807671875,0.04304731359705102,0.6626667082946807
