L,β,e,c
8,0.685315,-1.057655859375,0.40669552273832243
8,0.69031,-1.0590810546875,0.4094029548065005
8,0.695305,-1.065653125,0.42129769454332733
8,0.7003,-1.06908359375,0.4422789263607212
8,0.705295,-1.07374765625,0.4568288677690827
8,0.71029,-1.0786109375,0.46010330840309493
8,0.715285,-1.081259765625,0.468450094388645
8,0.72028,-1.088540234375,0.4917167700123487
8,0.725275,-1.0924849609375,0.5059597322076127
8,0.73027,-1.096837109375,0.516368751997666
8,0.735265,-1.1012009765625,0.5339855855606835
8,0.74026,-1.10715546875,0.5460418242338069
8,0.745255,-1.111327734375,0.5596086265558777
8,0.75025,-1.116501171875,0.5873124621095722
8,0.755245,-1.122223046875,0.5968196808131099
8,0.76024,-1.12571015625,0.639317806946661
8,0.765235,-1.13325859375,0.6539719965259991
8,0.77023,-1.136470703125,0.6561083381972768
8,0.775225,-1.1440591796875,0.7026136472940988
8,0.78022,-1.14932109375,0.7127122078213679
8,0.785215,-1.153911328125,0.7317345319202827
8,0.79021,-1.16192734375,0.7808622870056345
8,0.795205,-1.1725810546875,0.8173759503716337
8,0.8002,-1.1728498046875,0.8266692108554289
8,0.805195,-1.1799634765625,0.8508247550670571
8,0.81019,-1.1911607421875,0.911390820325482
8,0.815185,-1.19615234375,0.9504846276221149
8,0.82018,-1.20566484375,1.0108754667237467
8,0.825175,-1.210009375,1.01843628568633
8,0.83017,-1.2195373046875,1.0913662610926576
8,0.835165,-1.2255228515625,1.1454412952384334
8,0.84016,-1.23428125,1.1716205638069033
8,0.845155,-1.239644140625,1.2043986444671717
8,0.85015,-1.252309765625,1.2733837596225035
8,0.855145,-1.2599880859375,1.3224955672060397
8,0.86014,-1.271461328125,1.4286970575121913
8,0.865135,-1.27809453125,1.4599134810288812
8,0.87013,-1.2876955078125,1.5490557835536616
8,0.875125,-1.298471875,1.6202911402273805
8,0.88012,-1.3105732421875,1.6816466734496893
8,0.885115,-1.327973828125,1.8464406474832848
8,0.89011,-1.33266328125,1.8297379923933126
8,0.895105,-1.345639453125,1.9451096418198444
8,0.9001,-1.353583984375,1.954387641792687
8,0.905095,-1.3709494140625,2.11747343591326
8,0.91009,-1.3810689453125,2.197563717126139
8,0.915085,-1.4029609375,2.315408292140098
8,0.92008,-1.4083197265625,2.300938330537606
8,0.925075,-1.4272865234375,2.4530856634904357
8,0.93007,-1.4371443359375,2.4569191587451247
8,0.935065,-1.4602388671875,2.578793769366056
8,0.94006,-1.4663052734375,2.5348739334347923
8,0.945055,-1.486323046875,2.6012249736599524
8,0.95005,-1.4941462890625,2.6453646245425815
8,0.955045,-1.5128333984375,2.685682875813554
8,0.96004,-1.527428125,2.8003403685468506
8,0.965035,-1.5529333984375,2.6979169010273996
8,0.97003,-1.554456640625,2.6749567959758886
8,0.975025,-1.5766189453125,2.608120207582699
8,0.98002,-1.5768900390625,2.743095024843197
8,0.985015,-1.599011328125,2.722995312495808
8,0.99001,-1.60714609375,2.6892851899711623
8,0.995005,-1.6288134765625,2.600734373913008
8,1.0,-1.644828125,2.457301247515595
16,0.001,-0.667211572265625,4.407905275518825e-7
16,0.005995,-0.669284521484375,1.611104804708315e-5
16,0.01099,-0.671661865234375,5.370055838843688e-5
16,0.015985,-0.673928662109375,0.00011429321740997656
16,0.02098,-0.6761796875,0.00019771757306453986
16,0.025975,-0.678296435546875,0.0003031099383636991
16,0.03097,-0.680598876953125,0.0004296390591300517
16,0.035965,-0.6825517578125,0.000578568219021119
16,0.04096,-0.68485615234375,0.000754597378127643
16,0.045955,-0.6871140625,0.0009541220156962134
16,0.05095,-0.6897349609375,0.0011707022137138565
16,0.055945,-0.69159853515625,0.0014202726873565488
16,0.06094,-0.694058642578125,0.0017014922593426476
16,0.065935,-0.69632763671875,0.0019693214360675107
16,0.07093,-0.698590087890625,0.002293711531601018
16,0.075925,-0.700985986328125,0.002632530372107917
